micro-credit,,
1,community forest fund,2019-11-21 22:16
2,community/CBO loan,2019-11-21 22:16
3,government loan,2019-11-21 22:16
4,development project loan,2019-11-21 22:16
5,private bank loan,2019-11-21 22:16
6,none,2019-11-21 22:16
7,does not know - not relevant,2019-11-21 22:16
